hip,ra,dec,hp_mag,b_v,plx
37826,116.33068294019498,28.02631021860563,1.2947,0.991,96.54
39953,122.38314733218827,-47.336611676905775,1.7034,-0.145,2.92
78401,240.08338222784874,-22.621620364687654,2.2617,-0.117,6.64
4427,14.177087819806042,60.71674955250466,2.1379,-0.046,5.94
31681,99.42792544255357,16.399414011593606,1.929,0.001,29.84
71860,220.48239095304535,-47.38814121489823,2.2296,-0.154,7.02
86228,264.32968931382976,-42.99782041368308,1.9269,0.406,10.86
26311,84.05338543565338,-1.2019172414620227,1.6235,-0.184,1.65
62434,191.93049350271724,-59.688732668040146,1.1537,-0.238,11.71
24608,79.17206465892026,45.999029047535174,0.2385,0.795,76.2
71352,218.87688120936915,-42.15774568948728,2.2729,-0.157,10.67
80763,247.35194829095929,-26.43194598227583,0.9757,1.865,5.89
7588,24.42813207953872,-57.23665984847916,0.4233,-0.158,23.39
42913,131.17582214266574,-54.70856804863214,1.9511,0.043,40.49
113963,346.19007056094597,15.205367531470344,2.4784,-0.002,24.46
15863,51.08061917149925,49.8612430465829,1.8972,0.481,6.44
30324,95.67494722224626,-17.955916812939442,1.8911,-0.24,6.62
34444,107.09785867990901,-26.39320762392726,1.9628,0.671,2.03
41037,125.62860248830137,-59.509537808593066,1.9996,1.196,5.39
45556,139.27261829379444,-59.27526114730822,2.2822,0.189,4.26
53910,165.45996141989733,56.38234468800373,2.3499,0.033,40.9
54061,165.93265336559026,61.75111903203818,1.9519,1.061,26.54
57632,177.26615959508663,14.572336778827237,2.1605,0.09,90.91
68702,210.9560192034163,-60.372978868942,0.5366,-0.231,8.32
76267,233.67162275770133,26.714910505694938,2.221,0.032,43.46
86670,265.6219989324434,-39.02992100324995,2.3164,-0.171,6.75
102098,310.3579728128913,45.28033431497014,1.2966,0.092,2.31
746,2.2920403043889377,59.15021805887627,2.3579,0.38,59.58
65378,200.98091527955415,54.92541508741724,2.254,0.057,38.01
82396,252.54268725877748,-34.29260943263813,2.4532,1.144,51.19
85927,263.40219318199655,-37.103748685815525,1.5244,-0.231,5.71
92855,283.81631935864067,-26.29659424865304,2.0095,-0.134,14.32
113368,344.4117729896118,-29.621836802955258,1.1808,0.145,129.81
3179,10.126613502755538,56.53740925229195,2.4107,1.17,14.29
25930,83.00166550492827,-0.2990934343210653,2.1361,-0.175,4.71
3419,10.896784465319778,-17.986684067850593,2.2061,1.019,33.86
