hip,ra,dec,hp_mag,b_v,plx,pm_ra,pm_de
43,0.12908906427973627,59.55973786104728,6.3456,1.032,7.34,-80.81,-23.64
330,1.0569320762212224,62.28766467746866,5.9712,0.274,0.84,-1.32,0.14
394,1.2217285979499115,34.659551973289524,6.2283,0.632,25.52,769.18,99.69
696,2.1395321058952446,-17.578040140531417,6.201,1.664,1.73,14.58,-47.76
1193,3.7327943495793576,22.284252037578504,6.2571,-0.004,7.1,45.09,-10.8
1215,3.7939776649211363,27.283477123635986,6.362,-0.002,7.4,15.35,-16.01
1708,5.379901986556807,-28.981295215330718,5.3382,1.006,9.87,32.76,-72.01
2256,7.179087427591404,-50.532846297752045,6.4333,1.09,7.98,159.52,-4.72
2497,7.921712389912388,52.839558441262874,5.7599,1.163,8.56,-56.0,-13.06
2578,8.182476036359013,-63.03137879245114,5.092,0.038,21.95,86.66,-50.33
2832,8.97867168162888,13.207502322934133,6.4348,0.517,26.62,-132.29,-178.33
2876,9.113924992561621,60.32621718205298,5.8676,0.294,0.9,2.81,-0.92
2900,9.193629397814123,44.4885096673165,5.2561,1.587,5.29,-36.31,31.96
3849,12.35647368274904,-13.561017208045339,5.7503,1.325,11.75,105.11,-104.3
3858,12.389323788214519,-23.36210935180755,6.3272,0.132,4.27,-11.52,-13.93
3919,12.575890208062193,45.002240918297055,6.1499,0.043,9.97,61.5,7.0
4267,13.64674989706606,19.188435798994337,5.7989,-0.016,9.25,9.86,-7.75
4283,13.719845738354586,83.7074614792938,5.6279,0.105,11.4,60.92,-9.09
4427,14.177087819806042,60.71674955250466,2.1379,-0.046,5.94,25.17,-3.92
5141,16.45509229687357,4.90866174975897,6.4428,0.383,24.61,14.05,-120.5
5737,18.43250841824802,7.57548937823163,5.2849,0.32,18.76,145.0,-55.69
6087,19.542257611866813,47.41971622570897,6.4362,1.357,1.51,8.01,-3.39
6093,19.55788405597118,57.80316869995816,6.2998,1.589,2.87,-6.91,-0.64
6960,22.40041770074396,-21.62934674753429,5.1255,0.028,14.01,56.11,3.54
7651,24.632656761395804,45.399705310306366,6.3812,-0.021,6.23,-15.64,-0.77
7955,25.53602204230105,-32.326857311037216,5.4202,1.044,15.18,-71.07,-51.06
8833,28.388901843811517,3.187478444908385,4.7687,0.928,18.21,24.48,25.99
9440,30.31165161504546,-30.001565515599417,5.5008,0.883,11.08,-109.37,-109.19
10306,33.199932874435234,21.210982826133414,5.3294,0.457,34.64,163.49,5.22
12072,38.91142603173458,37.312290592498236,5.869,1.389,5.23,-1.04,-13.68
12708,40.834267361624185,-40.527939641860655,6.3658,-0.022,5.48,14.07,12.69
12768,41.02149192090239,44.297054995014314,5.59,0.904,3.32,2.77,-6.38
12770,41.03064358095837,-13.858676013343175,4.2067,-0.122,8.3,-8.62,-9.07
12828,41.234889461552335,10.114220431376436,4.3439,0.311,38.8,282.7,-32.53
13121,42.191122222845344,25.18807341925123,5.892,-0.033,8.21,54.41,-3.69
13363,42.98400994785123,-30.814775022274556,6.4938,0.484,30.73,124.42,105.51
13789,44.38593922119841,-38.19095187560436,6.4171,-0.018,8.34,2.64,12.16
13907,44.777055584612356,-28.90707943062878,6.3022,1.044,7.03,0.72,-55.8
14586,47.087856320571774,18.79508739827537,6.3534,1.56,4.26,38.42,-14.87
14814,47.81976911498597,-16.024939339119534,6.4111,1.167,6.04,-24.57,-10.51
14862,47.984327452429646,74.3938686420537,4.864,0.035,19.72,14.07,-86.75
15191,48.94645149755248,32.85666590098858,6.3866,0.366,18.25,-9.58,19.39
15383,49.5928280701739,-0.9301413175450945,5.5554,1.05,14.89,253.18,-60.32
16147,52.01270900391403,49.06293153693055,4.962,-0.091,6.22,22.59,-26.85
16339,52.65374331805365,-47.375174234614065,6.0248,0.116,8.31,64.21,19.89
16447,52.95433011530152,49.40109543885656,6.4444,0.075,0.59,-1.65,-1.14
17453,56.117445884828506,20.928770212417593,6.1031,0.028,12.87,26.66,-13.91
17529,56.298514505341736,42.57854465286957,3.8717,0.425,5.86,-14.45,2.53
17886,57.386260372106236,33.091381425026185,5.1684,0.057,12.15,-18.63,-1.47
18788,60.383474819765645,-1.5496262707506534,5.2315,-0.133,7.88,27.74,-14.69
19011,61.09461004458455,-12.792338938047283,5.785,1.062,8.48,16.15,17.67
19121,61.48538982967132,-8.856083562650458,6.2949,0.063,13.11,25.52,-9.29
19398,62.32431770435565,-16.385877368021628,5.4008,-0.147,5.0,-0.87,0.63
20138,64.76204093917704,-33.904628076555184,6.4081,0.132,9.8,-1.39,4.0
21139,67.96945597768816,-0.043991166659395134,5.0807,1.32,4.97,-1.85,-8.19
21547,69.40044385412818,-2.473392069185365,5.2896,0.283,33.98,44.22,-64.39
21611,69.5906015275991,-77.65597760716403,6.2132,1.08,6.34,-7.16,-10.78
22192,71.60730212777415,-28.08748821689907,6.2378,0.189,17.8,-3.82,17.58
22325,72.13553600625096,-16.32958116494835,5.8767,0.537,23.97,7.37,38.84
22439,72.42631918622693,-13.769250187344065,6.3702,0.456,29.58,-120.83,-172.32
22453,72.47777740243305,37.4881815653042,5.0115,1.447,6.48,-36.89,38.85
22479,72.54828809252741,-16.21728357423529,5.1981,0.992,13.83,44.9,50.99
22597,72.93075914733683,9.975095696188196,6.1411,0.06,5.35,3.2,-7.6
22783,73.51254411360593,66.34266004978194,4.294,-0.008,0.52,-0.13,6.89
23123,74.6370952421436,1.7140348026492134,4.6307,1.369,3.45,-1.3,-7.67
23148,74.71244747144344,-82.47052257075656,5.9969,0.932,8.84,-4.37,3.83
23430,75.54069161984593,-26.274843172197624,5.1748,1.056,13.99,86.16,-75.99
23551,75.96718239753125,-14.370238126325455,6.3525,-0.187,1.76,1.65,3.02
23589,76.0899156409896,21.27799155807689,6.357,1.324,6.73,15.35,-25.59
23649,76.2414687188388,-49.57783016650037,5.1708,1.484,7.35,68.96,-2.2
24331,78.32283192056654,2.8612537916806913,4.6378,1.166,9.32,0.83,3.91
24440,78.64809619912678,76.47276920815261,6.3552,-0.011,7.54,-8.35,-3.81
24505,78.85152261829342,-26.943437082868982,5.0438,-0.067,11.73,10.08,-29.59
24902,80.06118218114526,41.086338797141174,5.5089,0.122,11.77,-18.97,-53.43
25011,80.33044939789706,4.01197763229992,6.4813,-0.089,3.56,0.46,-12.53
25282,81.12046242175742,-0.8916692413318105,5.2306,0.961,17.48,-4.23,140.26
25499,81.79203666407341,17.96226762038012,5.3743,-0.09,5.94,7.7,-20.54
25737,82.43325601493295,-1.0921757988195302,4.8168,1.592,6.42,1.16,-25.84
26762,85.27328512940294,0.33768572280934583,6.0019,0.311,20.86,11.86,27.37
26796,85.36217346369443,-33.400711483743244,6.3437,-0.04,6.51,5.63,-12.29
26868,85.56329542369075,-34.66793670641841,5.2851,-0.032,7.61,5.0,50.79
26953,85.78881535899822,-1.613177832654092,6.4428,1.467,6.2,5.68,-29.79
27483,87.29358146946075,39.18113366395476,4.678,0.949,15.77,-28.3,-24.97
27939,88.68349380103261,0.9686150381472507,6.1595,1.328,3.73,-3.65,-0.23
28010,88.87454282494542,-37.120609389872584,5.1402,1.102,9.8,36.9,-25.35
28325,89.76794853519651,-9.558139577926584,5.0983,0.189,11.39,10.86,-46.07
28499,90.2439952404532,47.9019743033973,5.7169,-0.007,2.82,3.6,-20.99
28716,90.97993187735554,20.138458339500858,4.6946,0.236,1.81,1.88,-2.1
28899,91.52304853509611,-29.75852206719832,5.8133,0.041,11.73,11.51,-41.15
29034,91.88180028883227,-37.252920820358334,4.9753,-0.095,4.52,0.12,0.41
29746,93.97490255926387,1.1690045804644709,6.4628,0.443,10.39,-6.36,30.66
30321,95.65929229068031,-69.98412783171347,5.6847,1.51,5.27,26.78,33.82
30769,96.98620674384364,20.496288238522126,6.2371,0.041,7.02,-30.68,13.51
30986,97.54700159609376,-10.081506168474604,6.0716,1.373,3.13,-7.52,-1.52
31086,97.85002980088416,-32.86856532912014,6.3473,1.665,3.18,-17.7,7.53
31617,99.25787435353364,-38.146615725326946,6.1875,1.03,9.06,-1.04,45.21
31681,99.42792544255357,16.399414011593606,1.929,0.001,29.84,13.81,-54.96
32064,100.48485945537215,-9.167424519881928,5.3245,1.525,9.47,32.61,-45.27
32249,100.99705871461136,13.228143138962876,4.6618,1.167,11.29,-2.4,-50.78
32753,102.45768922721349,16.20291300205165,5.8168,-0.136,3.8,-14.74,-10.4
32765,102.47757100021441,-46.61546985305689,5.2429,0.46,39.59,-0.99,373.96
33451,104.3233882557946,-35.507201016190464,6.3328,0.465,23.2,-40.35,18.94
33650,104.86639580518224,25.914186597353236,6.3654,-0.111,2.73,-5.98,-6.41
34248,106.5020517576267,-30.655728750814426,6.292,-0.131,3.88,-7.9,6.72
154,0.48996493299063687,-6.013971448657128,4.412,1.631,7.55,48.39,-40.94
2270,7.236105001717482,36.89970084808344,6.4453,0.916,6.17,-3.87,-3.08
2548,8.098978954170375,6.955454643373754,5.698,-0.014,12.35,44.75,2.33
2854,9.03453122210733,54.16845376995215,5.0536,-0.098,6.08,22.56,-2.23
2912,9.220162133655847,33.719352530619936,4.3098,-0.123,5.45,14.75,-3.51
2942,9.338442011085341,35.39951041867986,5.5949,0.886,3.85,-9.25,-3.73
3478,11.109276194073091,47.86396289098088,5.6246,-0.113,5.23,-39.26,8.75
3544,11.32168134890356,55.22140860234269,5.4258,0.022,10.12,-29.07,-4.91
4914,15.760852944261185,-4.836350339258179,5.5696,1.106,9.78,-115.33,-102.01
5132,16.423657632074757,21.465472951416345,5.5192,-0.048,11.64,52.88,-11.88
5165,16.521284478015318,-46.71849568603054,3.4646,0.885,0.12,-80.81,34.97
5494,17.581039001631133,25.458039713268015,5.9332,1.466,8.28,0.23,-114.4
6706,21.563661221511616,19.172320914099203,5.4375,0.395,39.66,-26.89,11.12
7243,23.326112768396015,8.208814883282864,6.4752,0.8,6.76,18.45,-32.26
7740,24.919866420792278,16.405886142847404,6.1499,1.119,8.32,81.4,-11.43
7978,25.621462689004012,-53.74057472698838,5.6378,0.551,57.36,166.32,-106.52
8102,26.02136458671327,-15.939555724635493,3.6295,0.727,273.96,-1721.05,854.16
8159,26.232719303640454,20.083405535057107,6.4169,0.72,30.7,-44.75,-105.35
8544,27.53575105962651,22.275356151611852,5.9716,0.743,5.57,-16.52,-8.25
8704,27.997113819163076,55.14740474327002,5.469,-0.175,2.52,12.05,-9.18
8886,28.59868111587817,63.67014682359832,3.3107,-0.15,7.92,32.09,-18.94
9487,30.511669852063545,2.763761281424779,3.8281,0.024,21.66,32.45,0.04
9589,30.79835727761849,0.12845404942581481,5.4819,0.146,11.61,76.15,21.69
9809,31.551131591404115,8.248142683422332,6.3317,1.636,4.03,-14.61,-14.36
10138,32.60000727369053,-50.82531506799509,6.2571,0.812,92.74,2092.86,653.21
10320,33.226916877565984,-30.723842534998212,5.2714,-0.013,10.18,14.1,6.85
10328,33.263521552544645,15.27991058393528,5.8196,1.551,6.81,97.95,-20.3
10826,34.83661105234116,-2.977060760348089,4.9898,0.966,10.91,9.33,-237.36
11102,35.72772632369918,-51.09228913576344,5.9685,0.213,16.43,22.15,65.77
11293,36.36035099250498,-66.49402865240985,6.3164,1.511,4.33,-19.22,1.15
11313,36.405837510254734,50.2786657988616,4.851,1.532,8.83,24.66,-15.13
12093,38.968703866209516,5.593301429426633,5.0189,0.88,9.59,-26.51,-22.32
